;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-d3f36e11-d380-4ca7-becf-a8fcf12fab73;n/d;"exemplaren per dag";X/T;1.157407e-05;Aantal;368;2022-01-07;2100-01-01
Id-d052dbfa-f2f3-4422-9777-f6d54bfb1f87;n/dl;"exemplaren per deciliter";X/L3;10000;Aantal;244;2011-06-10;2100-01-01
Id-8ab4a4c8-6d8d-4952-99cb-287bea310f04;n/g;"exemplaren per gram";X/M;1000;Aantal;245;2012-05-26;2100-01-01
Id-c3e9fb11-f8fe-4cf5-bd47-5ef6db1e0448;n/ha;"exemplaren per hectare";X/L2;0.0001;Aantal;246;2012-12-11;2100-01-01
Id-a7a5cfa8-3f06-43fc-82a6-190699f804cf;n/hm;"exemplaren per hectometer";X/L;0.01;Aantal;323;2015-10-03;2100-01-01
Id-eb8f1722-d56a-4978-9037-308ea1c94334;n/kg;"exemplaren per kilogram";X/M;1;Aantal;379;2024-08-30;2100-01-01
Id-437882d7-e01a-4f2a-9bc2-f329aebec91e;n/km;"exemplaren per kilometer";X/L;0.001;Aantal;247;2012-12-11;2100-01-01
Id-b8145827-ee19-4bdb-800d-5e6567f9b6df;n/m3;"exemplaren per kubieke meter";X/L3;1;Aantal;328;2015-11-07;2100-01-01
Id-851db590-3a68-4845-8104-50bc2f3bc7cc;n/l;"exemplaren per liter";X/L3;1000;Aantal;249;2011-06-10;2100-01-01
Id-8a182a2f-2805-4064-9a01-0b0b194cfc96;n/m;"exemplaren per meter";X/L;1;Aantal;250;2011-06-10;2100-01-01
Id-c7e7634f-0891-4c74-864f-f78ecbe3b246;n/mg;"exemplaren per milligram";X/M;1000000;Aantal;252;2011-06-10;2100-01-01
Id-cc140caf-4a2e-4097-ae0b-026e7b5b5c8e;n/ml;"exemplaren per milliliter";X/L3;1000000;Aantal;254;2011-06-10;2100-01-01
Id-b1965ba3-613c-429d-9c44-4a458b21b75e;n/min;"exemplaren per minuut";X/T;0.01666667;Aantal;253;2020-09-11;2100-01-01
Id-a11862f1-fb04-4442-8691-5150d2d932f2;n/s;"exemplaren per seconde";X/T;1;Aantal;380;2025-04-03;2100-01-01
Id-8a497905-db3b-49f6-9ae3-58bba966473a;n/km2;"exemplaren per vierkante kilometer";X/L2;0.000001;Aantal;248;2012-12-11;2100-01-01
Id-9474dfe3-51af-4ec2-88de-10e58a018fdc;n/m2;"exemplaren per vierkante meter";X/L2;1;Aantal;251;2011-06-10;2100-01-01
Id-c05c93bd-3add-4973-90aa-3740ae6f51d7;GJ;gigajoule;L2M/T2;1000000000;"SI afgeleide eenheid";332;2017-01-31;2100-01-01
Id-5292774a-aea6-49a7-afd5-e5a0eaf76189;GJ/d;"gigajoule per dag";L2M/T3;11574.07407;"SI afgeleide eenheid";298;2015-07-22;2100-01-01
Id-98dd716f-0a0e-4c71-9d0d-32999c609350;GJ/m3;"gigajoule per kubieke meter";L2M/L3T2;1000000000;"SI afgeleide eenheid";334;2017-01-31;2100-01-01
Id-cf10e504-d336-4d95-a0d4-966314856a6a;GJ/s;"gigajoule per seconde";L2M/T3;1000000000;"SI afgeleide eenheid";299;2015-07-22;2100-01-01
Id-a7beabf7-5623-49de-afe5-616888179770;graad;graad;;;Overig;118;2021-12-10;2100-01-01
Id-79ac43f0-0d41-4361-83c5-5ed0565e29d5;oC;"graad Celsius";O;1;"SI afgeleide eenheid";8;2011-06-10;2100-01-01
Id-52587ee6-78fa-4d94-85a2-66f587e431ba;g;gram;M;0.001;"SI afgeleide eenheid";27;2012-12-11;2100-01-01
Id-169bba2b-b168-4108-a2c8-949f74eb596a;g/d;"gram per dag";M/T;1.157407E-08;"SI afgeleide eenheid";181;2012-12-11;2100-01-01
Id-b8d90301-55f2-4f80-b08c-df77abadd313;g/dl;"gram per deciliter";M/L3;10;"SI afgeleide eenheid";182;2011-06-10;2100-01-01
Id-1ff42a83-3542-454e-8de6-f5be51f829e2;g/ie;"gram per inwoner equivalent";;;Overig;183;2011-06-10;2100-01-01
Id-3a181edc-923d-475f-a327-6f4d9d0dc97a;g/a;"gram per jaar";M/T;;"SI afgeleide eenheid";180;2011-06-10;2100-01-01
Id-b4720fd1-85ef-431f-bdac-9c6354b58659;g/kg;"gram per kilogram";M/M;0.001;"SI afgeleide eenheid";30;2012-12-11;2100-01-01
Id-ecaac581-d21e-489d-a84a-0c5ac932c095;g/m3;"gram per kubieke meter";M/L3;0.001;"SI afgeleide eenheid";185;2012-12-11;2100-01-01
Id-9d662280-34c3-40cd-8f07-9b081333f795;g/l;"gram per liter";M/L3;1;"SI afgeleide eenheid";33;2011-06-10;2100-01-01
